/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; FBSMTWB; .NET CLR 1.1.4322)	107-50-106-132.pools.spcsdns.net	1310700815	-	-	GET	-	en-us
/fraternal/clubs.php	/fraternal/clubs.php	#	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	msnbot-65-52-110-41.search.msn.com	1310701196	-	-	GET	-	N/D
/fraternal/calendar.php	/fraternal/calendar.php	#	Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)	b3091245.crawl.yahoo.net	1310701924	-	-	GET	-	en-us,en;q=0.5
/fraternal/home.php	/fraternal/home.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703525	-	-	GET	-	N/D
/fraternal/contact.php	/fraternal/contact.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703526	-	-	GET	-	N/D
/fraternal/history.php	/fraternal/history.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703527	-	-	GET	-	N/D
/fraternal/calendar.php	/fraternal/calendar.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703527	-	-	GET	-	N/D
/fraternal/sitemap.php	/fraternal/sitemap.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703527	-	-	GET	-	N/D
/fraternal/divan.php	/fraternal/divan.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703528	-	-	GET	-	N/D
/fraternal/groups.php	/fraternal/groups.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703530	-	-	GET	-	N/D
/fraternal/directions.php	/fraternal/directions.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703544	-	-	GET	-	N/D
/fraternal/bylaws.php	/fraternal/bylaws.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703544	-	-	GET	-	N/D
/fraternal/ashac.php	/fraternal/ashac.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703545	-	-	GET	-	N/D
/fraternal/circus.php	/fraternal/circus.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703545	-	-	GET	-	N/D
/fraternal/membership.php	/fraternal/membership.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703555	-	-	GET	-	N/D
/fraternal/famousShriners.php	/fraternal/famousShriners.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703555	-	-	GET	-	N/D
/fraternal/clubs.php	/fraternal/clubs.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703556	-	-	GET	-	N/D
/fraternal/glsa.php	/fraternal/glsa.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703556	-	-	GET	-	N/D
/fraternal/ohio.php	/fraternal/ohio.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703565	-	-	GET	-	N/D
/fraternal/lamp.php	/fraternal/lamp.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703584	-	-	GET	-	N/D
/fraternal/units.php	/fraternal/units.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703605	-	-	GET	-	N/D
/fraternal/pastPotes.php	/fraternal/pastPotes.php	#	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.2)	38.100.21.14	1310703618	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.12	1310705835	-	-	GET	-	tr-TR
/fraternal/car.php	/fraternal/car.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.103	1310707533	-	-	GET	-	tr-TR
/fraternal/glsa.php	/fraternal/glsa.php	#	Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)	b3091184.crawl.yahoo.net	1310707541	-	-	GET	-	en-us,en;q=0.5
/fraternal/utica.php	/fraternal/utica.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.82	1310714169	-	-	GET	-	tr-TR
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C; BRI/1; BRI/2; AskTB5.6)	d47-69-158-51.col.wideopenwest.com	1310714705	-	-	GET	-	en-US
/fraternal/lamp.php	/fraternal/lamp.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C; BRI/1; BRI/2; AskTB5.6)	d47-69-158-51.col.wideopenwest.com	1310714761	-	-	GET	-	en-US
/fraternal/history.php	/fraternal/history.php	http://www.aladdinshrine.org/fraternal/lamp.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C; BRI/1; BRI/2; AskTB5.6)	d47-69-158-51.col.wideopenwest.com	1310714937	-	-	GET	-	en-US
/fraternal/divan.php	/fraternal/divan.php	http://www.google.co.id/imgres?imgurl=http://www.aladdinshrine.org/fraternal/images/GarolRogers.jpg&amp;imgrefurl=http://www.aladdinshrine.org/fraternal/divan.php&amp;usg=__48QtG9GclrCj7lWfAa6wfKbGnRg=&amp;h=504&amp;w=360&amp;sz=139&amp;hl=id&amp;start=0&amp;zoom=1&amp;tbnid=_gVeUB9fyM12xM:&amp;tbnh=154&amp;tbnw=114&amp;ei=zewfTv-GLInYrQfolqWBAg&amp;prev=/search%3Fq%3Dgarol%26hl%3Did%26client%3Dfirefox-a%26rls%3Dorg.mozilla:id:official%26biw%3D1366%26bih%3D643%26gbv%3D2%26tbm%3Disch&amp;itbs=1&amp;iact=hc&amp;vpx=948&amp;vpy=54&amp;dur=430&amp;hovh=266&amp;hovw=190&amp;tx=116&amp;ty=160&amp;page=1&amp;ndsp=19&amp;ved=1t:429,r:4,s:0&amp;biw=1366&amp;bih=643	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/12.0.733.0 Safari/534.29	17.static.118-96-180.astinet.telkom.net.id	1310715116	-	-	GET	-	id
